data,importo,note
31/12/2018,18
04/12/2018,-13.99
30/11/2018,18
30/10/2018,-10.99
04/10/2018,-80.86
04/10/2018,-28
04/10/2018,-78
02/10/2018,-10.99
26/09/2018,198
14/09/2018,-79.9
11/09/2018,88
30/08/2018,-10.99
09/08/2018,-60.8
06/08/2018,68
31/07/2018,-10.99
28/07/2018,-5.9
07/07/2018,-49.8
07/07/2018,-9.35
05/07/2018,-20
03/07/2018,-1.26
03/07/2018,-10.99
27/06/2018,108
10/05/2018,18
12/05/2018,-10.99
05/05/2018,-21.49
11/04/2018,-10.99
21/03/2018,28.08
22/03/2018,-8
15/03/2018,20
17/03/2018,-10.8
13/03/2018,-10.99
26/02/2018,153
01/03/2018,-148.35
13/02/2018,-10.99
10/01/2018,33
12/01/2018,-10.99
01/01/2018,-10
31/12/2017,8.6,saldo a fine anno precedente
